C:\Users\prora\OneDrive\Documents\GitHub\hugo-translator\scripts\quality\tm_surgical_cleanup.py:382: UserWarning: L2PersistentTM: sibling LMDB directory found alongside canonical 'l2.lmdb': l2_lmdb. This indicates split writes. Run scripts/tm/migrate_l2_lmdb.py to consolidate.
  tm = L2PersistentTM(db_path=tm_path)
TC-TM-02: sibling L2 LMDB dir(s) detected: l2_lmdb (canonical: data\tm\l2.lmdb). Run scripts/tm/migrate_l2_lmdb.py --apply to consolidate.
TM path: data\tm\l2.lmdb
Mode: DRY-RUN
Max changes: 25000

Scanning L2 TM (site=products.aspose.org, locales=ALL)...
  [OVERWRITE] ar    | 'FAQs'                                     -> 'الأسئلة الشائعة' (identifier_translated)
  [OVERWRITE] ar    | 'SubMenu'                                  -> 'القائمة الفرعية' (identifier_translated)
  [OVERWRITE] ar    | 'Head'                                     -> 'العنوان' (identifier_translated)
  [OVERWRITE] ar    | 'Header'                                   -> 'الترويسة' (identifier_translated)
  [OVERWRITE] ar    | 'Support'                                  -> 'الدعم' (identifier_translated)
  [OVERWRITE] ar    | 'Content'                                  -> 'المحتوى' (identifier_translated)
  [OVERWRITE] bg    | 'FAQs'                                     -> 'ЧЗВ' (identifier_translated)
  [OVERWRITE] bg    | 'SubMenu'                                  -> 'Подменю' (identifier_translated)
  [OVERWRITE] bg    | 'Head'                                     -> 'Глава' (identifier_translated)
  [OVERWRITE] bg    | 'Header'                                   -> 'Заглавка' (identifier_translated)
  [OVERWRITE] bg    | 'Support'                                  -> 'Поддръжка' (identifier_translated)
  [OVERWRITE] bg    | 'Content'                                  -> 'съдържание' (identifier_translated)
  [OVERWRITE] ca    | 'Overview'                                 -> 'Visió general' (identifier_translated)
  [OVERWRITE] ca    | 'FAQs'                                     -> 'Preguntes freqüents' (identifier_translated)
  [OVERWRITE] ca    | 'SubMenu'                                  -> 'Submenú' (identifier_translated)
  [OVERWRITE] ca    | 'Head'                                     -> 'Capçalera' (identifier_translated)
  [OVERWRITE] ca    | 'Header'                                   -> 'Capçalera' (identifier_translated)
  [OVERWRITE] ca    | 'Support'                                  -> 'Suport' (identifier_translated)
  [OVERWRITE] ca    | 'Content'                                  -> 'Contingut' (identifier_translated)
  [OVERWRITE] cs    | 'Overview'                                 -> 'Přehled' (identifier_translated)
  [OVERWRITE] cs    | 'FAQs'                                     -> 'Často kladené otázky' (identifier_translated)
  [OVERWRITE] cs    | 'SubMenu'                                  -> 'Podmenu' (identifier_translated)
  [OVERWRITE] cs    | 'Head'                                     -> 'Hlavička' (identifier_translated)
  [OVERWRITE] cs    | 'Header'                                   -> 'Záhlaví' (identifier_translated)
  [OVERWRITE] cs    | 'Support'                                  -> 'Podpora' (identifier_translated)
  [OVERWRITE] cs    | 'Content'                                  -> 'obsah' (identifier_translated)
  [OVERWRITE] da    | 'Overview'                                 -> 'Oversigt' (identifier_translated)
  [OVERWRITE] da    | 'FAQs'                                     -> 'FAQ' (identifier_translated)
  [OVERWRITE] da    | 'Content'                                  -> 'indhold' (identifier_translated)
  [OVERWRITE] de    | 'Overview'                                 -> 'Übersicht' (identifier_translated)
  [OVERWRITE] de    | 'FAQs'                                     -> 'FAQ' (identifier_translated)
  [OVERWRITE] de    | 'Header'                                   -> 'Überschrift' (identifier_translated)
  [OVERWRITE] de    | 'Content'                                  -> 'Inhalt' (identifier_translated)
  [OVERWRITE] el    | 'FAQs'                                     -> 'Συχνές ερωτήσεις (FAQs)' (identifier_translated)
  [OVERWRITE] el    | 'SubMenu'                                  -> 'Υπομενού' (identifier_translated)
  [OVERWRITE] el    | 'Head'                                     -> 'Κεφαλίδα' (identifier_translated)
  [OVERWRITE] el    | 'Header'                                   -> 'ΚΕΦΑΛΙΔΑ' (identifier_translated)
  [OVERWRITE] el    | 'Support'                                  -> 'Υποστήριξη' (identifier_translated)
  [OVERWRITE] el    | 'Content'                                  -> 'Περιεχόμενο' (identifier_translated)
  [OVERWRITE] es    | 'Overview'                                 -> 'Visión general' (identifier_translated)
  [OVERWRITE] es    | 'FAQs'                                     -> 'Preguntas frecuentes' (identifier_translated)
  [OVERWRITE] es    | 'SubMenu'                                  -> 'Submenú' (identifier_translated)
  [OVERWRITE] es    | 'Head'                                     -> 'Encabezado' (identifier_translated)
  [OVERWRITE] es    | 'Header'                                   -> 'Encabezado' (identifier_translated)
  [OVERWRITE] es    | 'Support'                                  -> 'Soporte' (identifier_translated)
  [OVERWRITE] es    | 'Content'                                  -> 'Contenido' (identifier_translated)
  [OVERWRITE] fa    | 'FAQs'                                     -> 'سوالات متداول' (identifier_translated)
  [OVERWRITE] fa    | 'SubMenu'                                  -> 'زیرمنو' (identifier_translated)
  [OVERWRITE] fa    | 'Head'                                     -> 'سر' (identifier_translated)
  [OVERWRITE] fa    | 'Header'                                   -> 'سرصفحه' (identifier_translated)
  [OVERWRITE] fa    | 'Support'                                  -> 'پشتیبانی' (identifier_translated)
  [OVERWRITE] fa    | 'Content'                                  -> 'محتوا' (identifier_translated)
  [OVERWRITE] fi    | 'Overview'                                 -> 'Yleiskatsaus' (identifier_translated)
  [OVERWRITE] fi    | 'SubMenu'                                  -> 'alivahvistus' (identifier_translated)
  [OVERWRITE] fi    | 'Head'                                     -> 'Pää' (identifier_translated)
  [OVERWRITE] fi    | 'Header'                                   -> 'Headerit' (identifier_translated)
  [OVERWRITE] fi    | 'Support'                                  -> 'tukea' (identifier_translated)
  [OVERWRITE] fi    | 'Content'                                  -> 'Sisältö' (identifier_translated)
  [OVERWRITE] fr    | 'Overview'                                 -> 'Surveillance' (identifier_translated)
  [OVERWRITE] fr    | 'SubMenu'                                  -> 'sous-marin' (identifier_translated)
  [OVERWRITE] fr    | 'Head'                                     -> 'tête' (identifier_translated)
  [OVERWRITE] fr    | 'Support'                                  -> 'Soutien' (identifier_translated)
  [OVERWRITE] fr    | 'Content'                                  -> 'contenu' (identifier_translated)
  [OVERWRITE] he    | 'SubMenu'                                  -> 'תת-מניין' (identifier_translated)
  [OVERWRITE] he    | 'Head'                                     -> 'ראש' (identifier_translated)
  [OVERWRITE] he    | 'Support'                                  -> 'תמיכה' (identifier_translated)
  [OVERWRITE] he    | 'Content'                                  -> 'תוכן' (identifier_translated)
  [PATCH] hi    | 'content: enable: true block: - title_lef' -> 'सामग्री: सक्षम: सच्चा ब्लॉक: - title_lef' (inline_code_span_translated)
  [OVERWRITE] hi    | 'FAQs'                                     -> 'FAQs के' (identifier_translated)
  [OVERWRITE] hi    | 'SubMenu'                                  -> 'उपमंडल' (identifier_translated)
  [OVERWRITE] hi    | 'Head'                                     -> 'सिर' (identifier_translated)
  [OVERWRITE] hi    | 'Header'                                   -> 'हेड' (identifier_translated)
  [OVERWRITE] hi    | 'Support'                                  -> 'समर्थन' (identifier_translated)
  [OVERWRITE] hi    | 'Content'                                  -> 'सामग्री' (identifier_translated)
  [OVERWRITE] hr    | 'Overview'                                 -> 'Pregled' (identifier_translated)
  [OVERWRITE] hr    | 'SubMenu'                                  -> 'Podmjenik' (identifier_translated)
  [OVERWRITE] hr    | 'Head'                                     -> 'glava' (identifier_translated)
  [OVERWRITE] hr    | 'Support'                                  -> 'Potpora' (identifier_translated)
  [OVERWRITE] hr    | 'Content'                                  -> 'sadržaj' (identifier_translated)
  [OVERWRITE] hu    | 'Overview'                                 -> 'Áttekintés' (identifier_translated)
  [OVERWRITE] hu    | 'FAQs'                                     -> 'FAQS' (identifier_translated)
  [OVERWRITE] hu    | 'SubMenu'                                  -> 'alárendeltség' (identifier_translated)
  [OVERWRITE] hu    | 'Head'                                     -> 'fej' (identifier_translated)
  [OVERWRITE] hu    | 'Support'                                  -> 'támogatás' (identifier_translated)
  [OVERWRITE] hu    | 'Content'                                  -> 'Tartalom' (identifier_translated)
  [OVERWRITE] id    | 'Overview'                                 -> 'Pengamatan' (identifier_translated)
  [OVERWRITE] id    | 'SubMenu'                                  -> 'Submenyebut' (identifier_translated)
  [OVERWRITE] id    | 'Head'                                     -> 'Kepala' (identifier_translated)
  [OVERWRITE] id    | 'Support'                                  -> 'Dukungan' (identifier_translated)
  [OVERWRITE] id    | 'Content'                                  -> 'Konten' (identifier_translated)
  [OVERWRITE] it    | 'Overview'                                 -> 'Panoramica' (identifier_translated)
  [OVERWRITE] it    | 'SubMenu'                                  -> 'Sottomani' (identifier_translated)
  [OVERWRITE] it    | 'Head'                                     -> 'Capo' (identifier_translated)
  [OVERWRITE] it    | 'Support'                                  -> 'Supporto' (identifier_translated)
  [OVERWRITE] it    | 'Content'                                  -> 'Contenuti' (identifier_translated)
  [OVERWRITE] ja    | 'SubMenu'                                  -> 'サブメニュー' (identifier_translated)
  [OVERWRITE] ja    | 'Head'                                     -> '頭部' (identifier_translated)
  [OVERWRITE] ja    | 'Header'                                   -> 'ヘッド' (identifier_translated)
  [OVERWRITE] ja    | 'Support'                                  -> 'サポート' (identifier_translated)
  [OVERWRITE] ja    | 'Content'                                  -> 'コンテンツ' (identifier_translated)
  [PATCH] ko    | 'content: enable: true block: - title_lef' -> '내용: 사용: 진짜 블록: - title_left: "3D 형식 지원 및' (inline_code_span_translated)
  [OVERWRITE] ko    | 'FAQs'                                     -> 'FAQ' (identifier_translated)
  [OVERWRITE] ko    | 'Head'                                     -> '머리' (identifier_translated)
  [OVERWRITE] ko    | 'Header'                                   -> '헤더' (identifier_translated)
  [OVERWRITE] ko    | 'Support'                                  -> '지원' (identifier_translated)
  [OVERWRITE] ko    | 'Content'                                  -> '컨텐츠' (identifier_translated)
  [OVERWRITE] lt    | 'Overview'                                 -> 'Apžvalga' (identifier_translated)
  [OVERWRITE] lt    | 'SubMenu'                                  -> 'Submenų' (identifier_translated)
  [OVERWRITE] lt    | 'Head'                                     -> 'galva' (identifier_translated)
  [OVERWRITE] lt    | 'Support'                                  -> 'Parama' (identifier_translated)
  [OVERWRITE] lt    | 'Content'                                  -> 'turinio' (identifier_translated)
  [OVERWRITE] lv    | 'Overview'                                 -> 'Pārskats' (identifier_translated)
  [OVERWRITE] lv    | 'SubMenu'                                  -> 'Submena' (identifier_translated)
  [OVERWRITE] lv    | 'Head'                                     -> 'Galva' (identifier_translated)
  [OVERWRITE] lv    | 'Support'                                  -> 'Atbalsts' (identifier_translated)
  [OVERWRITE] lv    | 'Content'                                  -> 'saturs' (identifier_translated)
  [OVERWRITE] ms    | 'Overview'                                 -> 'Gambaran keseluruhan' (identifier_translated)
  [OVERWRITE] ms    | 'SubMenu'                                  -> 'Submenyediakan' (identifier_translated)
  [OVERWRITE] ms    | 'Head'                                     -> 'kepala' (identifier_translated)
  [OVERWRITE] ms    | 'Support'                                  -> 'sokongan' (identifier_translated)
