Loaded 1674 candidate files (site=None, family=None)
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\asn1.md -- fixed: [('./pkcs7', '../pkcs7'), ('./signature', '../signature')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\asn1.md -- fixed: [('./pkcs7', '../pkcs7'), ('./signature', '../signature')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\asn1.md -- fixed: [('./pkcs7', '../pkcs7'), ('./signature', '../signature')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\asn1.md -- fixed: [('./pkcs7', '../pkcs7'), ('./signature', '../signature')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\asn1.md -- fixed: [('./pkcs7', '../pkcs7'), ('./signature', '../signature')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fi\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
