Loaded 351 candidate files (site=None, family=None)
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.fa.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.ru.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.th.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.tr.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.uk.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\email\python\python-outlook-msg-create-read\index.vi.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\slides\net\dotnet-pptx-slides-shapes-api\index.hu.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\cells\net\developer-guide\features.md -- 8 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\cells\net\developer-guide\features.md -- 8 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\cells\net\developer-guide\features.md -- 8 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\cells\net\developer-guide\working-with-spreadsheet-management.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\cells\net\developer-guide\working-with-spreadsheet-management.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\cells\net\developer-guide\working-with-spreadsheet-management.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ru\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\cells\typescript\developer-guide\working-with-spreadsheet-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\email\cpp\developer-guide\reading-msg-files.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\email\cpp\developer-guide\reading-msg-files.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\email\cpp\developer-guide\reading-msg-files.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\font\python\developer-guide\core-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\font\python\developer-guide\core-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\font\python\developer-guide\core-management.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\note\python\developer-guide\note-document.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\note\python\developer-guide\note-document.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\note\python\developer-guide\note-document.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\words\python\developer-guide\docx-reader.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\words\python\developer-guide\docx-reader.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\words\python\developer-guide\docx-reader.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\words\python\developer-guide\docx-reader.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\words\python\developer-guide\docx-reader.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\words\python\developer-guide\ldm-builder.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\words\python\developer-guide\ldm-builder.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\words\python\developer-guide\ldm-builder.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\words\python\developer-guide\ldm-builder.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\words\python\developer-guide\ldm-builder.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ar\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\bg\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\el\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\es\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fr\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\he\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\hu\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\pt\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ro\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\th\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\tr\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\uk\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\vi\barcode\python\how-to-work-with-barcode-generation-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\tr\barcode\python\use-cases.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\vi\barcode\python\use-cases.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ca\cells\net\how-to-work-with-cell-validation-dotnet.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\hu\cells\net\how-to-work-with-cell-validation-dotnet.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\id\cells\net\how-to-work-with-cell-validation-dotnet.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\tr\cells\net\how-to-work-with-cell-validation-dotnet.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\vi\cells\net\how-to-work-with-cell-validation-dotnet.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\hu\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\id\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\th\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\tr\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\uk\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\vi\cells\python\how-to-load-spreadsheet-python.md -- 4 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\tr\cells\python\use-cases.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\vi\cells\python\use-cases.md -- 3 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ca\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\hi\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\hu\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ru\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\th\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\uk\font\python\how-to-work-with-woff-python.md -- 5 section(s) fixed
Wrote/appended 276 rows to reports\audit\backlog_code_fence_dropped.csv

Changed: 75, no-op/backlog: 276, confirmed verify failures: 0
