Scope: 144 (site_id, locale) pairs from reports/audit/findings_detail.csv, issue_types=['double_period', 'link_path_corrupted']
  blog.aspose.org:ar -- scanned 2004, 13 corrupted
  blog.aspose.org:bg -- scanned 2030, 7 corrupted
  blog.aspose.org:ca -- scanned 1663, 1 corrupted
  blog.aspose.org:cs -- scanned 1443, 2 corrupted
  blog.aspose.org:da -- scanned 1431, 2 corrupted
  blog.aspose.org:de -- scanned 1429, 1 corrupted
  blog.aspose.org:el -- scanned 1824, 2 corrupted
  blog.aspose.org:es -- scanned 1871, 1 corrupted
  blog.aspose.org:fr -- scanned 1879, 1 corrupted
  blog.aspose.org:hi -- scanned 1218, 1 corrupted
  blog.aspose.org:hr -- scanned 2011, 1 corrupted
  blog.aspose.org:hu -- scanned 1727, 2 corrupted
  blog.aspose.org:id -- scanned 1602, 3 corrupted
  blog.aspose.org:it -- scanned 1008, 1 corrupted
  blog.aspose.org:ko -- scanned 1043, 7 corrupted
  blog.aspose.org:lt -- scanned 1080, 1 corrupted
  blog.aspose.org:sv -- scanned 1875, 6 corrupted
  blog.aspose.org:tr -- scanned 1894, 4 corrupted
  blog.aspose.org:vi -- scanned 1796, 2 corrupted
  docs.aspose.org:ar -- scanned 4602, 5 corrupted
  docs.aspose.org:bg -- scanned 5113, 3 corrupted
  docs.aspose.org:ca -- scanned 4474, 3 corrupted
  docs.aspose.org:cs -- scanned 3427, 4 corrupted
  docs.aspose.org:da -- scanned 2821, 4 corrupted
  docs.aspose.org:de -- scanned 2653, 14 corrupted
  docs.aspose.org:el -- scanned 5081, 6 corrupted
  docs.aspose.org:es -- scanned 4688, 4 corrupted
  docs.aspose.org:he -- scanned 4312, 2 corrupted
  docs.aspose.org:hr -- scanned 5431, 5 corrupted
  docs.aspose.org:ko -- scanned 2639, 5 corrupted
  docs.aspose.org:lt -- scanned 2606, 1 corrupted
  docs.aspose.org:pt -- scanned 5355, 5 corrupted
  docs.aspose.org:ro -- scanned 4206, 3 corrupted
  docs.aspose.org:sk -- scanned 2382, 1 corrupted
  docs.aspose.org:sr -- scanned 2631, 1 corrupted
  docs.aspose.org:sv -- scanned 4424, 2 corrupted
  docs.aspose.org:th -- scanned 4391, 8 corrupted
  docs.aspose.org:tr -- scanned 4587, 10 corrupted
  docs.aspose.org:uk -- scanned 4063, 1 corrupted
  kb.aspose.org:ar -- scanned 4207, 9 corrupted
  kb.aspose.org:bg -- scanned 4318, 2 corrupted
  kb.aspose.org:ca -- scanned 4093, 1 corrupted
  kb.aspose.org:cs -- scanned 3584, 4 corrupted
  kb.aspose.org:da -- scanned 3326, 4 corrupted
  kb.aspose.org:de -- scanned 3328, 3 corrupted
  kb.aspose.org:el -- scanned 4472, 7 corrupted
  kb.aspose.org:fi -- scanned 2735, 1 corrupted
  kb.aspose.org:fr -- scanned 3914, 1 corrupted
  kb.aspose.org:hi -- scanned 3608, 2 corrupted
  kb.aspose.org:hr -- scanned 4522, 5 corrupted
  kb.aspose.org:ko -- scanned 3179, 63 corrupted
  kb.aspose.org:lt -- scanned 3003, 1 corrupted
  kb.aspose.org:pl -- scanned 2989, 3 corrupted
  kb.aspose.org:pt -- scanned 4859, 4 corrupted
  kb.aspose.org:ro -- scanned 3779, 1 corrupted
  kb.aspose.org:sv -- scanned 4069, 3 corrupted
  kb.aspose.org:th -- scanned 3978, 1 corrupted
  kb.aspose.org:tr -- scanned 4038, 5 corrupted
  kb.aspose.org:vi -- scanned 3810, 1 corrupted
  reference.aspose.org:ar -- scanned 13150, 230 corrupted
  reference.aspose.org:bg -- scanned 13273, 276 corrupted
  reference.aspose.org:ca -- scanned 13549, 284 corrupted
  reference.aspose.org:cs -- scanned 8853, 242 corrupted
  reference.aspose.org:da -- scanned 6271, 196 corrupted
  reference.aspose.org:de -- scanned 6943, 193 corrupted
  reference.aspose.org:el -- scanned 19464, 246 corrupted
  reference.aspose.org:es -- scanned 20174, 335 corrupted
  reference.aspose.org:fa -- scanned 16448, 211 corrupted
  reference.aspose.org:fi -- scanned 6628, 195 corrupted
  reference.aspose.org:fr -- scanned 23024, 244 corrupted
  reference.aspose.org:he -- scanned 20191, 198 corrupted
  reference.aspose.org:hi -- scanned 13306, 458 corrupted
  reference.aspose.org:hr -- scanned 14107, 257 corrupted
  reference.aspose.org:hu -- scanned 12487, 254 corrupted
  reference.aspose.org:id -- scanned 9296, 667 corrupted
  reference.aspose.org:it -- scanned 2825, 197 corrupted
  reference.aspose.org:ja -- scanned 3635, 190 corrupted
  reference.aspose.org:ko -- scanned 7756, 459 corrupted
  reference.aspose.org:lt -- scanned 11081, 197 corrupted
  reference.aspose.org:lv -- scanned 2794, 193 corrupted
  reference.aspose.org:ms -- scanned 3405, 198 corrupted
  reference.aspose.org:nl -- scanned 2924, 197 corrupted
  reference.aspose.org:no -- scanned 2874, 197 corrupted
  reference.aspose.org:pl -- scanned 5067, 199 corrupted
  reference.aspose.org:pt -- scanned 13279, 267 corrupted
  reference.aspose.org:ro -- scanned 17564, 239 corrupted
  reference.aspose.org:ru -- scanned 11110, 257 corrupted
  reference.aspose.org:sk -- scanned 3380, 195 corrupted
  reference.aspose.org:sr -- scanned 8268, 201 corrupted
  reference.aspose.org:sv -- scanned 13358, 287 corrupted
  reference.aspose.org:th -- scanned 18180, 1045 corrupted
  reference.aspose.org:tr -- scanned 13355, 586 corrupted
  reference.aspose.org:uk -- scanned 12447, 525 corrupted
  reference.aspose.org:vi -- scanned 11600, 199 corrupted
  reference.aspose.org:zh -- scanned 11872, 200 corrupted

Total scanned: 698185, total corrupted candidates: 10780
Dry-run only -- no deletions. Re-run with --write after operator sanity-checks these counts
and scripts/tm/backup_tm.py has completed (see plan TC-P7-13 sequencing).
