site_id,family,locale,file_path,en_path,issue_type,backlog_reason
docs.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\words\python\developer-guide\docx-reader.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
docs.aspose.org,,uk,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\words\python\developer-guide\docx-reader.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
docs.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\words\python\developer-guide\ldm-builder.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
docs.aspose.org,,uk,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\words\python\developer-guide\ldm-builder.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\email\cpp\how-to-get-started-email-cpp.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ja,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ja\email\cpp\how-to-get-started-email-cpp.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\note\python\how-to-get-started-note-python.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ja,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ja\note\python\how-to-get-started-note-python.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\slides\cpp\how-to-get-started-slides-cpp.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ja,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ja\slides\cpp\how-to-get-started-slides-cpp.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ja,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ja\slides\net\how-to-get-started-slides-dotnet.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,zh,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\zh\slides\net\how-to-get-started-slides-dotnet.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ru,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ru\words\python\how-to-extract-parsers-python.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\words\python\how-to-load-docx-reader-python.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,he,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\he\words\python\how-to-load-docx-reader-python.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ru,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ru\words\python\troubleshooting.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,zh,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\zh\words\python\troubleshooting.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\fa\words\python\use-cases.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,he,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\he\words\python\use-cases.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
kb.aspose.org,,ja,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\ja\words\python\use-cases.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\pdf\java\DocumentPageImporter.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\pdf\java\Page.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: LA CHE HOLE
reference.aspose.org,,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\pdf\java\PKCS7SignedData.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\pdf\net\AnnotationState.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\pdf\net\ColumnInfo.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\pdf\net\LineEnding.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\pdf\net\LineEnding.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\pdf\net\PdfExtractor.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: 
reference.aspose.org,,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\slides\cpp\Elements.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: end para
reference.aspose.org,,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\slides\cpp\Elements.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: end para
reference.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\slides\cpp\Elements.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: end para
reference.aspose.org,,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\slides\cpp\Elements.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: end para
reference.aspose.org,,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\words\python\StyleData.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: para props
reference.aspose.org,,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\words\python\StyleData.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: para props
reference.aspose.org,,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\words\python\StyleData.md,,partial_script_contamination_gate31,genuine leak or unclassified terms: para props
