site_id,family,locale,file_path,en_path,issue_type,backlog_reason
docs.aspose.org,pdf,ko,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ko\pdf\net\developer-guide\text-extraction.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\pdf\net\developer-guide\text-extraction.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
docs.aspose.org,words,bg,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\words\python\developer-guide\core-management.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\words\python\developer-guide\core-management.md,table_desc_not_translated,5 cell(s) with no TM cache hit -- needs real translation
docs.aspose.org,words,bg,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\words\python\developer-guide\doc-reader.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\words\python\developer-guide\doc-reader.md,table_desc_not_translated,12 cell(s) with no TM cache hit -- needs real translation
docs.aspose.org,words,bg,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\words\python\developer-guide\docx-reader.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\words\python\developer-guide\docx-reader.md,table_desc_not_translated,9 cell(s) with no TM cache hit -- needs real translation
docs.aspose.org,words,bg,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\words\python\developer-guide\pdf-writer.md,D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\en\words\python\developer-guide\pdf-writer.md,table_desc_not_translated,13 cell(s) with no TM cache hit -- needs real translation
kb.aspose.org,pdf,zh,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\zh\pdf\net\troubleshooting.md,D:\onedrive\Documents\GitHub\aspose.org\content\kb.aspose.org\en\pdf\net\troubleshooting.md,table_desc_not_translated,3 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,ko,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ko\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,zh,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\zh\3d\java\base-classes\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\base-classes\_index.md,table_desc_not_translated,4 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\3d\java\Camera.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Camera.md,table_desc_not_translated,63 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\3d\java\Camera.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Camera.md,table_desc_not_translated,63 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\java\Camera.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Camera.md,table_desc_not_translated,64 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\Camera.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Camera.md,table_desc_not_translated,64 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\Deformer.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Deformer.md,table_desc_not_translated,9 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\java\Entity.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Entity.md,table_desc_not_translated,16 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\Entity.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Entity.md,table_desc_not_translated,16 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\FbxLoadOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\FbxLoadOptions.md,table_desc_not_translated,10 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\java\FbxSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\FbxSaveOptions.md,table_desc_not_translated,12 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\FbxSaveOptions.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\FbxSaveOptions.md,table_desc_not_translated,12 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\java\Geometry.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\Geometry.md,table_desc_not_translated,34 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,bg,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\bg\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,el,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\el\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,ko,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ko\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
reference.aspose.org,3d,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\3d\java\global-transform\_index.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\java\global-transform\_index.md,table_desc_not_translated,6 cell(s) with no TM cache hit -- needs real translation
