site_id,family,locale,issue_type,count
reference.aspose.org,3d,vi,table_desc_not_translated,93
reference.aspose.org,pdf,tr,double_period,40
reference.aspose.org,pdf,th,double_period,38
reference.aspose.org,pdf,sv,double_period,34
reference.aspose.org,slides,bg,table_desc_not_translated,24
reference.aspose.org,cells,ru,table_desc_not_translated,22
reference.aspose.org,3d,ko,table_desc_not_translated,19
reference.aspose.org,cells,bg,table_desc_not_translated,18
reference.aspose.org,slides,ar,table_desc_not_translated,18
reference.aspose.org,3d,hi,table_desc_not_translated,17
reference.aspose.org,3d,fa,table_desc_not_translated,15
reference.aspose.org,pdf,fr,double_period,14
reference.aspose.org,pdf,ca,double_period,13
reference.aspose.org,pdf,ro,double_period,13
reference.aspose.org,cells,fa,table_desc_not_translated,12
docs.aspose.org,pdf,ar,link_path_corrupted,11
docs.aspose.org,pdf,bg,link_path_corrupted,11
docs.aspose.org,pdf,hr,link_path_corrupted,11
docs.aspose.org,pdf,pt,link_path_corrupted,11
docs.aspose.org,pdf,sv,link_path_corrupted,11
docs.aspose.org,pdf,tr,link_path_corrupted,11
docs.aspose.org,pdf,uk,link_path_corrupted,11
docs.aspose.org,pdf,vi,link_path_corrupted,11
docs.aspose.org,pdf,zh,link_path_corrupted,11
reference.aspose.org,3d,he,table_desc_not_translated,11
reference.aspose.org,pdf,hi,double_period,11
docs.aspose.org,pdf,cs,link_path_corrupted,10
docs.aspose.org,pdf,el,link_path_corrupted,10
docs.aspose.org,pdf,hu,link_path_corrupted,10
docs.aspose.org,pdf,ro,link_path_corrupted,10
reference.aspose.org,3d,es,newline_explosion,10
reference.aspose.org,3d,it,newline_explosion,10
reference.aspose.org,3d,lv,newline_explosion,10
reference.aspose.org,3d,ms,newline_explosion,10
reference.aspose.org,3d,nl,newline_explosion,10
reference.aspose.org,3d,no,newline_explosion,10
reference.aspose.org,3d,pl,newline_explosion,10
reference.aspose.org,3d,ru,table_desc_not_translated,10
reference.aspose.org,3d,sv,newline_explosion,10
reference.aspose.org,3d,tr,newline_explosion,10
reference.aspose.org,3d,vi,newline_explosion,10
reference.aspose.org,cells,he,table_desc_not_translated,10
docs.aspose.org,pdf,es,link_path_corrupted,9
docs.aspose.org,pdf,he,link_path_corrupted,9
docs.aspose.org,pdf,hi,link_path_corrupted,9
reference.aspose.org,3d,hu,newline_explosion,9
reference.aspose.org,3d,id,newline_explosion,9
reference.aspose.org,3d,lt,newline_explosion,9
reference.aspose.org,3d,pt,newline_explosion,9
reference.aspose.org,3d,sk,newline_explosion,9
reference.aspose.org,3d,uk,table_desc_not_translated,9
reference.aspose.org,3d,zh,table_desc_not_translated,9
reference.aspose.org,pdf,sr,double_period,9
docs.aspose.org,cells,ar,link_path_corrupted,8
docs.aspose.org,email,ar,link_path_corrupted,8
docs.aspose.org,email,bg,link_path_corrupted,8
docs.aspose.org,email,cs,link_path_corrupted,8
docs.aspose.org,email,el,link_path_corrupted,8
